ts,f_lat,f_lon,uav_lat,uav_lon,error_m,sources
1766949058893,39.922932,32.849871,39.924000,32.850112,120.57,RADAR-2;RADAR-1
1766949058995,39.923007,32.849883,39.924000,32.850112,112.14,RADAR-2;RADAR-1
1766949059098,39.923072,32.849889,39.924000,32.850112,104.94,RADAR-2;RADAR-1
1766949059212,39.923194,32.849885,39.924000,32.850112,91.64,RADAR-2;RADAR-1
1766949059303,39.923316,32.849881,39.924500,32.850144,133.57,RADAR-2;RADAR-1
1766949059406,39.923393,32.849926,39.924500,32.850144,124.44,RADAR-2;RADAR-1
1766949059508,39.923536,32.849946,39.924500,32.850144,108.46,RADAR-2;RADAR-1
1766949059612,39.923573,32.849960,39.924500,32.850144,104.31,RADAR-2;RADAR-1
1766949059714,39.923653,32.849999,39.924500,32.850144,95.00,RADAR-2;RADAR-1
1766949059818,39.923754,32.849989,39.924500,32.850144,84.01,RADAR-2;RADAR-1
1766949059921,39.923842,32.850016,39.924500,32.850144,74.02,RADAR-2;RADAR-1
1766949060023,39.923956,32.850014,39.924500,32.850144,61.50,RADAR-2;RADAR-1
1766949060126,39.923965,32.850044,39.924500,32.850144,60.07,RADAR-2;RADAR-1
1766949060281,39.924070,32.850055,39.925000,32.850179,103.96,RADAR-2;RADAR-1
1766949060332,39.924181,32.850040,39.925000,32.850179,91.80,RADAR-2;RADAR-1
1766949060435,39.924237,32.850069,39.925000,32.850179,85.38,RADAR-2;RADAR-1
1766949060537,39.924273,32.850053,39.925000,32.850179,81.56,RADAR-2;RADAR-1
1766949060728,39.924444,32.850024,39.925000,32.850179,63.24,RADAR-2;RADAR-1
1766949060830,39.924551,32.850023,39.925000,32.850179,51.64,RADAR-1;RADAR-2
1766949060845,39.924594,32.850013,39.925000,32.850179,47.34,RADAR-1
1766949061041,39.924728,32.849996,39.925000,32.850179,34.10,RADAR-2;RADAR-1
1766949061144,39.924798,32.849984,39.925000,32.850179,27.96,RADAR-1;RADAR-2
1766949061247,39.924823,32.849994,39.925000,32.850179,25.27,RADAR-1;RADAR-2
1766949061363,39.924893,32.850059,39.925500,32.850219,68.89,RADAR-1;RADAR-2
1766949061466,39.925013,32.850043,39.925500,32.850219,56.22,RADAR-2;RADAR-1
1766949061570,39.925094,32.850032,39.925500,32.850219,47.93,RADAR-2;RADAR-1
1766949061675,39.925193,32.850038,39.925500,32.850219,37.45,RADAR-2;RADAR-1
1766949061778,39.925229,32.850072,39.925500,32.850219,32.62,RADAR-2;RADAR-1
1766949061880,39.925324,32.850044,39.925500,32.850219,24.65,RADAR-2;RADAR-1
1766949061984,39.925345,32.850054,39.925500,32.850219,22.27,RADAR-2;RADAR-1
1766949062087,39.925410,32.850046,39.925500,32.850219,17.84,RADAR-2;RADAR-1
1766949062190,39.925438,32.850057,39.925500,32.850219,15.44,RADAR-2;RADAR-1
1766949062293,39.925543,32.850044,39.926000,32.850263,54.15,RADAR-2;RADAR-1
1766949062396,39.925640,32.850077,39.926000,32.850263,43.08,RADAR-2;RADAR-1
1766949062498,39.925715,32.850105,39.926000,32.850263,34.40,RADAR-2;RADAR-1
1766949062601,39.925825,32.850093,39.926000,32.850263,24.22,RADAR-2;RADAR-1
1766949062691,39.925841,32.850164,39.926000,32.850263,19.56,RADAR-1;RADAR-2
1766949062865,39.925927,32.850164,39.926000,32.850263,11.69,RADAR-2;RADAR-1
1766949062970,39.926004,32.850132,39.926000,32.850263,11.18,RADAR-2;RADAR-1
1766949063072,39.926118,32.850121,39.926000,32.850263,17.82,RADAR-2;RADAR-1
1766949063224,39.926172,32.850151,39.926000,32.850263,21.34,RADAR-2;RADAR-1
1766949063295,39.926143,32.850185,39.926500,32.850310,41.12,RADAR-1;RADAR-2
1766949063382,39.926162,32.850177,39.926500,32.850310,39.23,RADAR-1;RADAR-2
1766949063486,39.926191,32.850210,39.926500,32.850310,35.44,RADAR-1;RADAR-2
1766949063588,39.926284,32.850255,39.926500,32.850310,24.50,RADAR-2;RADAR-1
1766949063691,39.926361,32.850242,39.926500,32.850310,16.56,RADAR-1;RADAR-2
1766949063792,39.926368,32.850304,39.926500,32.850310,14.71,RADAR-2;RADAR-1
1766949063999,39.926494,32.850274,39.926500,32.850310,3.17,RADAR-2;RADAR-1
1766949064103,39.926544,32.850276,39.926500,32.850310,5.70,RADAR-1;RADAR-2
1766949064205,39.926565,32.850309,39.926500,32.850310,7.19,RADAR-1;RADAR-2
1766949064299,39.926612,32.850314,39.927000,32.850362,43.29,
1766949064421,39.926689,32.850386,39.927000,32.850362,34.68,RADAR-2;RADAR-1
1766949064524,39.926735,32.850361,39.927000,32.850362,29.45,RADAR-2;RADAR-1
1766949064627,39.926838,32.850352,39.927000,32.850362,18.03,RADAR-1;RADAR-2
1766949064728,39.926848,32.850383,39.927000,32.850362,17.05,RADAR-1;RADAR-2
1766949064831,39.926923,32.850359,39.927000,32.850362,8.57,RADAR-1;RADAR-2
